date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:37	52694/52694	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Nov%202020%2013:49:54%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/logo.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/logo.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:38	105527/105527	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2001:19:52%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/banner/banner-2.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/banner/banner-2.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:39	2446/2446	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2001:33:52%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/shape/shape-1.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/shape/shape-1.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:43	129788/129788	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202020%2002:01:12%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/shape/shape-10.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/shape/shape-10.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:44	1676/1676	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2001:35:12%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/shape/shape-2.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/shape/shape-2.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:53	33826/33826	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:29:00%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-7.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-7.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:53	36558/36558	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:31:58%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-8.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-8.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:55	22118/22118	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:32:14%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-9.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-9.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:57	32786/32786	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:32:30%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-10.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-10.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:53:58	31404/31404	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:32:46%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-11.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-11.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:00	33639/33639	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:33:20%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-13.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-13.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:00	25843/25843	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:33:04%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-12.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-12.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:02	1216/1216	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2016:03:24%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/icons/anim-icon-1.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/icons/anim-icon-1.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:02	35642/35642	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2003:33:36%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/feature-14.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/feature-14.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:03	1220/1220	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2016:05:16%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/icons/anim-icon-2.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/icons/anim-icon-2.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:03	5344/5344	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Nov%202020%2016:12:14%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/shape/shape-4.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/shape/shape-4.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:04	8313/8313	---M--	200	added ('OK')	image/png	date:Fri,%2006%20Nov%202020%2003:12:46%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/shape/shape-11.png	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/shape/shape-11.png	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:12	66010/66010	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Nov%202020%2020:19:32%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/place-1.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/place-1.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
17:54:22	50525/50525	---M--	200	added ('OK')	image/jpeg	date:Wed,%2004%20Nov%202020%2020:19:52%20GMT	https://azim.commonsupport.com/Clasifico/assets/images/resource/place-2.jpg	C:/Users/ABD/Downloads/clasifico/azim.commonsupport.com/Clasifico/assets/images/resource/place-2.jpg	(from https://azim.commonsupport.com/Clasifico/index-2.html)
